input_array,exec_best,exec_worst,exec_avg
10,2.384185791015625e-06,1.9073486328125e-06,1.6689300537109375e-06
260,1.6689300537109375e-06,1.9311904907226562e-05,9.5367431640625e-06
510,1.1920928955078125e-06,4.00543212890625e-05,3.0994415283203125e-06
760,1.430511474609375e-06,6.031990051269531e-05,5.245208740234375e-05
1010,1.430511474609375e-06,8.20159912109375e-05,5.745887756347656e-05
1260,2.1457672119140625e-06,0.00010204315185546875,5.054473876953125e-05
1510,1.6689300537109375e-06,0.0001227855682373047,3.0279159545898438e-05
1760,1.6689300537109375e-06,0.0001430511474609375,2.1696090698242188e-05
2010,1.9073486328125e-06,0.00016379356384277344,1.4781951904296875e-05
2260,1.9073486328125e-06,0.0001838207244873047,0.00018477439880371094
2510,1.430511474609375e-06,0.00020503997802734375,8.177757263183594e-05
2760,1.9073486328125e-06,0.00022649765014648438,0.0002465248107910156
3010,1.6689300537109375e-06,0.0002465248107910156,0.00015044212341308594
3260,1.430511474609375e-06,0.0002655982971191406,5.888938903808594e-05
3510,1.6689300537109375e-06,0.00028777122497558594,0.00011730194091796875
3760,1.6689300537109375e-06,0.0003077983856201172,1.9311904907226562e-05
4010,1.6689300537109375e-06,0.0003294944763183594,0.00012373924255371094
4260,1.430511474609375e-06,0.00034928321838378906,0.00032711029052734375
4510,1.9073486328125e-06,0.000370025634765625,0.0001957416534423828
4760,1.6689300537109375e-06,0.0003867149353027344,0.00043845176696777344
5010,1.9073486328125e-06,0.0004112720489501953,0.0004181861877441406
5260,1.430511474609375e-06,0.0004379749298095703,0.000278472900390625
5510,6.198883056640625e-06,0.0010497570037841797,0.00017952919006347656
5760,5.0067901611328125e-06,0.0004718303680419922,0.0002613067626953125
6010,2.1457672119140625e-06,0.0005006790161132812,0.0003757476806640625
6260,2.1457672119140625e-06,0.0005166530609130859,9.72747802734375e-05
6510,1.9073486328125e-06,0.0005352497100830078,0.00020885467529296875
6760,1.6689300537109375e-06,0.0005612373352050781,0.0002961158752441406
7010,1.6689300537109375e-06,0.0005776882171630859,0.00016164779663085938
7260,1.430511474609375e-06,0.0005931854248046875,9.465217590332031e-05
7510,1.9073486328125e-06,0.0006186962127685547,0.00010633468627929688
7760,1.430511474609375e-06,0.00063323974609375,0.0003647804260253906
8010,1.9073486328125e-06,0.0006587505340576172,0.0005323886871337891
8260,1.430511474609375e-06,0.0006806850433349609,3.886222839355469e-05
8510,1.6689300537109375e-06,0.0007097721099853516,0.00047326087951660156
8760,1.9073486328125e-06,0.0007121562957763672,0.0004322528839111328
9010,2.1457672119140625e-06,0.0007376670837402344,0.0003058910369873047
9260,3.5762786865234375e-06,0.0007638931274414062,0.00040650367736816406
9510,1.6689300537109375e-06,0.0007779598236083984,0.0006814002990722656
9760,1.9073486328125e-06,0.000804901123046875,0.0004899501800537109
10010,1.9073486328125e-06,0.0008256435394287109,4.7206878662109375e-05
10260,2.384185791015625e-06,0.0008389949798583984,0.0006110668182373047
10510,2.86102294921875e-06,0.0008628368377685547,0.00019598007202148438
10760,2.1457672119140625e-06,0.0008962154388427734,0.00019979476928710938
11010,1.9073486328125e-06,0.0009012222290039062,0.00036597251892089844
11260,1.430511474609375e-06,0.0009293556213378906,0.0006902217864990234
11510,1.9073486328125e-06,0.0009484291076660156,0.0009431838989257812
11760,1.9073486328125e-06,0.0009572505950927734,0.0003783702850341797
12010,1.430511474609375e-06,0.0009908676147460938,0.000209808349609375
12260,1.6689300537109375e-06,0.0010116100311279297,0.000362396240234375
12510,1.6689300537109375e-06,0.0010294914245605469,0.00112152099609375
12760,4.0531158447265625e-06,0.0010459423065185547,0.0008406639099121094
13010,1.9073486328125e-06,0.0010728836059570312,0.0004990100860595703
13260,3.337860107421875e-06,0.0010859966278076172,0.00045299530029296875
13510,1.6689300537109375e-06,0.0011184215545654297,0.0011107921600341797
13760,1.430511474609375e-06,0.001140594482421875,0.001245737075805664
14010,1.9073486328125e-06,0.0011587142944335938,0.0010581016540527344
14260,3.814697265625e-06,0.0012240409851074219,0.0007507801055908203
14510,4.5299530029296875e-06,0.0012104511260986328,0.0011725425720214844
14760,3.814697265625e-06,0.0012290477752685547,0.00038814544677734375
15010,3.0994415283203125e-06,0.0012636184692382812,0.0005269050598144531
15260,6.4373016357421875e-06,0.0012722015380859375,0.0003097057342529297
15510,2.1457672119140625e-06,0.0012769699096679688,0.0009403228759765625
15760,2.1457672119140625e-06,0.0013000965118408203,0.0010938644409179688
16010,1.6689300537109375e-06,0.0013282299041748047,0.0004184246063232422
16260,2.6226043701171875e-06,0.0013315677642822266,0.0013735294342041016
16510,1.9073486328125e-06,0.0013456344604492188,0.0005629062652587891
16760,1.430511474609375e-06,0.0013844966888427734,0.0004942417144775391
17010,1.6689300537109375e-06,0.0014011859893798828,0.0005526542663574219
17260,1.430511474609375e-06,0.0014240741729736328,0.0007503032684326172
17510,1.9073486328125e-06,0.001453399658203125,4.291534423828125e-05
17760,2.1457672119140625e-06,0.0014622211456298828,0.0011076927185058594
18010,2.1457672119140625e-06,0.0014781951904296875,0.0013718605041503906
18260,2.1457672119140625e-06,0.0015077590942382812,0.00090789794921875
18510,1.9073486328125e-06,0.0015308856964111328,0.0010838508605957031
18760,2.384185791015625e-06,0.0015544891357421875,0.001190185546875
19010,2.1457672119140625e-06,0.0015697479248046875,0.0010609626770019531
19260,4.291534423828125e-06,0.0015773773193359375,0.001272439956665039
19510,1.9073486328125e-06,0.0016095638275146484,0.00024271011352539062
19760,6.4373016357421875e-06,0.0016298294067382812,0.0017821788787841797
20010,2.86102294921875e-06,0.0016605854034423828,4.100799560546875e-05
20260,3.814697265625e-06,0.0016741752624511719,0.00030803680419921875
20510,3.814697265625e-06,0.0016739368438720703,0.0003504753112792969
20760,2.384185791015625e-06,0.0017194747924804688,0.0012836456298828125
21010,2.1457672119140625e-06,0.001725912094116211,0.0005304813385009766
21260,1.9073486328125e-06,0.0017483234405517578,4.363059997558594e-05
21510,2.384185791015625e-06,0.0017824172973632812,0.0016651153564453125
21760,2.384185791015625e-06,0.0018017292022705078,0.0007421970367431641
22010,2.1457672119140625e-06,0.0019164085388183594,0.0017104148864746094
22260,2.384185791015625e-06,0.0019311904907226562,0.001020193099975586
22510,2.6226043701171875e-06,0.0019943714141845703,0.0008566379547119141
22760,2.1457672119140625e-06,0.0020062923431396484,0.00022172927856445312
23010,2.1457672119140625e-06,0.0020165443420410156,0.0005924701690673828
23260,2.1457672119140625e-06,0.0020110607147216797,0.0010700225830078125
23510,2.384185791015625e-06,0.0020563602447509766,0.00030922889709472656
23760,2.1457672119140625e-06,0.002050161361694336,0.0003581047058105469
24010,1.6689300537109375e-06,0.002101421356201172,0.0018780231475830078
24260,2.1457672119140625e-06,0.0021109580993652344,0.001188516616821289
24510,1.9073486328125e-06,0.0021104812622070312,0.0004532337188720703
24760,7.152557373046875e-06,0.002298116683959961,0.0015561580657958984
25010,2.384185791015625e-06,0.0021538734436035156,0.0022535324096679688
25260,4.0531158447265625e-06,0.002354860305786133,8.821487426757812e-06
25510,2.86102294921875e-06,0.002262115478515625,0.0020253658294677734
25760,2.384185791015625e-06,0.0022459030151367188,0.0013434886932373047
26010,2.86102294921875e-06,0.0022552013397216797,0.0025267601013183594
26260,2.1457672119140625e-06,0.0022852420806884766,0.0018434524536132812
26510,2.1457672119140625e-06,0.0022890567779541016,0.0002079010009765625
26760,3.0994415283203125e-06,0.0023238658905029297,0.0008149147033691406
27010,2.384185791015625e-06,0.002487659454345703,0.0001842975616455078
27260,2.384185791015625e-06,0.0023474693298339844,0.0025794506072998047
27510,2.1457672119140625e-06,0.0023970603942871094,0.0014111995697021484
27760,2.384185791015625e-06,0.0023899078369140625,0.002189159393310547
28010,2.6226043701171875e-06,0.0024352073669433594,0.0018665790557861328
28260,2.384185791015625e-06,0.0024411678314208984,0.0025572776794433594
28510,2.384185791015625e-06,0.002454519271850586,0.0020804405212402344
28760,2.384185791015625e-06,0.0024700164794921875,0.0031425952911376953
29010,3.337860107421875e-06,0.002525806427001953,0.0013113021850585938
29260,2.86102294921875e-06,0.0025670528411865234,0.001728057861328125
29510,2.1457672119140625e-06,0.002543210983276367,0.0023508071899414062
29760,2.384185791015625e-06,0.0025947093963623047,0.0018143653869628906
30010,5.4836273193359375e-06,0.002658367156982422,0.0022704601287841797
30260,3.5762786865234375e-06,0.002843141555786133,0.0005850791931152344
30510,3.337860107421875e-06,0.002660036087036133,0.00044608116149902344
30760,2.86102294921875e-06,0.002720355987548828,0.0027620792388916016
31010,6.9141387939453125e-06,0.002745389938354492,0.0014188289642333984
31260,8.58306884765625e-06,0.0029325485229492188,0.0013804435729980469
31510,5.245208740234375e-06,0.002928495407104492,0.0014445781707763672
31760,4.0531158447265625e-06,0.0027740001678466797,0.002733469009399414
32010,3.337860107421875e-06,0.00283050537109375,0.0022766590118408203
32260,3.814697265625e-06,0.002828359603881836,0.0013167858123779297
32510,2.384185791015625e-06,0.0028443336486816406,0.0030019283294677734
32760,6.4373016357421875e-06,0.0029990673065185547,0.0018172264099121094
33010,3.337860107421875e-06,0.0028810501098632812,0.003286600112915039
33260,3.0994415283203125e-06,0.0028977394104003906,0.002995729446411133
33510,4.0531158447265625e-06,0.0029659271240234375,0.003084897994995117
